year,head_no,actual,approved,revised,estimate
2013,170,42189135,43479215,44401321,54722835
2013,173,4085407,4742951,4598222,5016294
2013,174,20409,30214,27537,30070
2013,180,78926,41117,41978,43627
2013,181,647792,651788,729064,770088
2013,184,,1042000,52000,743000
2013,186,1270453,1334342,1560860,2035872
2013,188,327411,349694,343257,363460
2013,190,11707549,13304129,15851629,15015579
2013,194,6248908,6487026,6566549,6810214
2014,21,92388,94481,95347,99112
2014,22,1964540,1579239,1151550,1395778
2014,23,71961,75158,74606,80590
2014,24,132968,137368,140561,144428
2014,25,1673413,1733990,1759454,1806701
2014,26,550625,590713,552000,615131
2014,27,88351,96253,96852,95687
2014,28,832351,853813,857537,862098
2014,30,3140130,3235902,3257633,3366910
2014,31,2768626,3107689,2996908,3056587
2014,33,1799825,2029341,1906482,2120406
2014,37,4991733,5580318,5554893,6093178
2014,39,1939166,1996348,1995206,2182147
2014,42,379035,509032,505309,512903
2014,44,2732201,3132891,8406888,6848374
2014,45,4482731,4691796,4690873,5007243
2014,46,2699636,3044324,2854171,3170445
2014,47,627154,671357,674656,690227
2014,48,380116,411240,388981,435759
2014,49,5004521,5200542,5347831,5667222
2014,51,1735985,1889157,1873129,1873206
2014,53,1302385,1393644,16388621,1546324
2014,55,307486,326031,316037,314910
2014,59,504657,526171,520712,537179
2014,60,2361588,2475061,2473873,2549814
2014,62,2074459,210178,2360781,261054
2014,63,1865952,2022532,2000992,2183530
2014,70,3380067,3546855,3598943,3694051
2014,72,861921,927340,926876,937127
2014,74,382516,405986,398880,408758
2014,76,1265192,1431999,1376316,1389503
2014,78,113448,121505,123003,133516
2014,79,113675,116913,116913,114967
2014,80,1147414,1272125,1222858,1356642
2014,82,1029782,1124935,1109625,1175901
2014,90,1436590,2040432,1638679,1912412
2014,91,1992005,2071602,2084797,2162090
2014,92,1272067,1401718,1388940,1795198
2014,94,870972,842163,842163,833151
2014,95,6240150,6538016,6593363,6889307
2014,96,306355,324678,321865,333479
2014,100,1017935,1045050,1064334,1156473
2014,106,107451,57272497,303975,11915636
2014,112,642090,664384,673340,717691
2014,114,99085,99540,102461,102816
2014,116,133875,155159,140054,147624
2014,118,523549,574397,559592,607936
2014,120,21843494,25509500,23905341,27317100
2014,121,46685,49833,50919,55988
2014,122,14598280,14776454,14983740,15515188
2014,136,18329,20059,20522,20782
2014,137,58580,72755,69153,80408
2014,138,622041,763645,556271,492049
2014,139,58414,80496,64761,76150
2014,140,53249857,45568939,46668004,48507848
2014,141,619977,717785,15665788,753727
2014,142,669577,739840,706533,833832
2014,143,464775,499173,491506,521385
2014,144,451033,500086,497823,582912
2014,147,14486536,1812850,4464984,1883242
2014,148,216852,239173,239125,312895
2014,151,251931,313589,299332,325154
2014,152,1326011,1539475,1515333,1644960
2014,155,533963,559228,553374,587163
2014,156,50534721,44478419,50017566,47369464
2014,158,146961,169179,171243,200136
2014,159,329303,472729,398688,448025
2014,160,615328,754288,732765,784477
2014,162,434085,484270,455296,479332
2014,163,548589,94315,82429,268299
2014,166,641940,515835,297640,367280
2014,168,239103,247367,247827,259781
2014,169,15928,18014,17540,18404
2014,170,44476987,54722835,53746431,55909483
2014,173,4589213,5016294,4954160,5380592
2014,174,27537,30070,30252,29704
2014,180,41251,43627,43630,43790
2014,181,707043,770088,812896,828458
2014,184,52000,743000,10893000,7519000
2014,186,1558120,2035872,1848672,2063030
2014,188,338614,363460,349365,369410
2014,190,15315776,15015579,15716427,15601731
2014,194,6570580,6810214,6862624,7095920
